ORIGIN,DEP_DELAY_NEW,DEP_DEL15,n_flights,avg_delay,pct_delay_flight,origin_city,origin_lat,origin_long
MEM,134070.0,1571.0,10304,13.011451863354038,15.246506211180124,,,
MFE,26061.0,301.0,2151,12.11576011157601,13.99349139934914,,,
MFR,30948.0,296.0,1442,21.461858529819693,20.527045769764214,,,
MGM,24746.0,274.0,1527,16.205631958087753,17.94368041912246,,,
MHK,12545.0,115.0,743,16.884253028263796,15.477792732166892,,,
MHT,32479.0,363.0,3279,9.905154010369015,11.070448307410796,,,
MIA,487723.0,6740.0,37782,12.908871949605633,17.839182679582873,,,
MKE,172122.0,2143.0,12956,13.285118863846867,16.5405989502933,,,
MKG,6206.0,50.0,302,20.549668874172184,16.55629139072848,,,
MLB,10732.0,125.0,1091,9.836846929422547,11.45737855178735,,,
MLI,34839.0,337.0,1988,17.524647887323944,16.951710261569417,,,
MLU,15206.0,158.0,1179,12.897370653095845,13.401187446988974,,,
MMH,10484.0,88.0,329,31.86626139817629,26.74772036474164,,,
MOB,34573.0,360.0,2161,15.998611753817677,16.65895418787598,,,
MOT,15310.0,129.0,808,18.948019801980198,15.965346534653465,,,
MQT,16325.0,104.0,530,30.80188679245283,19.622641509433965,,,
MRY,24083.0,247.0,1708,14.100117096018735,14.46135831381733,,,
MSN,88543.0,943.0,5564,15.913551401869158,16.94823867721064,,,
MSO,9699.0,129.0,1085,8.939170506912442,11.889400921658986,,,
MSP,820297.0,9906.0,64049,12.807335009133633,15.466283626598385,,,
MSY,327672.0,4744.0,24452,13.40062162604286,19.40127596924587,,,
MTJ,13497.0,170.0,753,17.92430278884462,22.576361221779546,,,
MVY,20.0,0.0,9,2.2222222222222223,0.0,,,
MYR,52766.0,716.0,4117,12.81661403934904,17.391304347826086,,,
OAJ,12824.0,181.0,1213,10.572135201978565,14.921681780708987,,,
OAK,247818.0,4428.0,21287,11.641753182693662,20.80142810165829,,,
OGD,1118.0,16.0,43,26.0,37.2093023255814,,,
OGG,96181.0,1228.0,10631,9.047220393189729,11.551124071112785,,,
OGS,3120.0,29.0,126,24.761904761904763,23.015873015873016,,,
OKC,138362.0,1661.0,9779,14.14889047959914,16.985376827896513,,,
OMA,137937.0,1720.0,10673,12.923920172397638,16.1154314625691,,,
OME,968.0,19.0,301,3.215946843853821,6.312292358803987,,,
ONT,92916.0,1403.0,8424,11.02991452991453,16.654795821462486,,,
ORD,2315046.0,29912.0,134226,17.247373832193464,22.28480324229285,,,
ORF,141263.0,1650.0,9902,14.266107856998586,16.663300343364977,,,
ORH,9889.0,101.0,453,21.830022075055187,22.29580573951435,,,
OTH,6650.0,59.0,151,44.03973509933775,39.0728476821192,,,
OTZ,2373.0,39.0,301,7.883720930232558,12.956810631229235,,,
OWB,814.0,12.0,47,17.319148936170212,25.53191489361702,,,
PAE,6058.0,49.0,361,16.781163434903046,13.573407202216067,,,
PAH,12285.0,107.0,552,22.255434782608695,19.384057971014492,,,
PBG,10136.0,107.0,654,15.498470948012232,16.36085626911315,,,
PBI,223351.0,2707.0,12339,18.101223762055273,21.938568765702247,,,
PDX,203160.0,2918.0,23720,8.564924114671163,12.30185497470489,,,
PGD,26581.0,413.0,2576,10.318711180124224,16.032608695652172,,,
PHF,8264.0,92.0,776,10.649484536082474,11.855670103092782,,,
PHL,590064.0,7849.0,47641,12.38563422262337,16.47530488444827,,,
PHX,913232.0,14449.0,74578,12.245327040145888,19.37434632197163,,,
PIA,29850.0,313.0,1947,15.331278890600924,16.076014381099128,,,
PIB,6167.0,53.0,302,20.420529801324502,17.549668874172188,,,
PIE,25741.0,353.0,3259,7.898435102792267,10.831543418226449,,,
